ID,magP,magV,r_x,r_y,r_z,v_x,v_y,v_z
44235,6926509.500000,7585.118652,800517.301605,-6409131.621796,2501746.454996,6379.415358,4100.100933,-11.728883
44236,6929000.500000,7585.114746,5721427.849395,2953329.985984,2560108.042065,-6601.295319,3700.289593,-529.016454
44237,6927604.500000,7585.082031,-377496.802058,-6438603.582524,2528553.675593,-3833.001571,5838.624081,-2956.855203
44238,6926606.500000,7585.106934,4802768.972171,-4300554.949723,2533084.731072,3127.889667,6893.546433,451.994830
44239,6926443.000000,7585.097168,6467944.427450,-71562.866765,2477132.566564,636.316008,7393.719635,1560.071773
44240,6918533.500000,7589.821289,-6398743.798414,833940.336331,2495340.683582,6530.884846,-3134.853299,-2260.428660
44241,6929643.500000,7585.075684,3282862.922357,-5570162.297764,2493203.279387,5403.412190,5287.210208,637.608072
44242,6927620.000000,7585.087891,-1692129.860010,-6219710.517410,2538467.409450,-6361.745790,-3945.888219,1217.824309
44243,6817009.000000,7644.112793,5164745.087041,3736794.027864,2415240.972957,-7053.497534,-2039.987325,-2107.397710
44244,6927836.500000,7585.079102,254530.968712,-6448798.232920,2518558.793952,-6729.567499,2606.561805,-2333.859944
44245,6928945.000000,7585.066406,250200.907104,-6444008.956054,2534250.193322,-3206.427838,-6606.550875,1902.182395
44246,6741554.000000,7681.706543,6349450.941658,571608.292047,2192323.566062,7214.037585,687.281428,2501.961574
44247,6927774.000000,7585.104492,5032625.598823,-4047166.198709,2507424.167338,-1697.042643,-7392.409113,24.496203
44248,6926292.500000,7585.085449,-4224429.909737,-4870035.572047,2531890.455265,7025.268351,-2830.856072,366.925490
44249,6909765.500000,7594.687988,5270530.389020,3681818.917790,2531911.993001,-6873.245694,-2216.874345,-2347.071908
44250,6926737.500000,7585.079590,-858064.914871,-6394280.559946,2521229.286588,5334.688054,-4700.819792,2636.913911
44251,6929022.500000,7585.094238,2252386.404634,-6000016.220448,2633991.620682,-5712.264817,3922.490699,-3087.495126
44252,6927288.500000,7585.073730,-3544588.254784,-5389499.635492,2525175.102199,3577.432106,6065.361140,-2816.410514
44253,6929168.000000,7585.071289,1228330.162282,-6349940.933016,2486527.946958,200.676806,-7157.770179,2505.187249
44254,6929239.500000,7585.083496,-490443.229926,-6433191.567861,2527424.164749,-663.719816,-7040.523839,2746.295693
44255,6927877.000000,7585.090332,5452096.341957,-3465106.084645,2502631.949330,-5335.987090,-5002.795318,-2007.140912
44256,6927518.500000,7585.287109,-3030761.805325,-5695251.314533,2523709.028128,-7507.023157,1039.845310,-309.284460
44257,6857342.500000,7623.701660,-5361601.371965,3475093.149442,2490001.140108,-4432.115139,5789.009922,2225.109416
44258,6928014.000000,7585.071289,1327868.214634,-6313569.459434,2524476.877732,-7362.904694,-423.980556,-1771.616198
44259,6822306.000000,7643.582031,2762178.572077,5723284.861115,2481579.428592,7626.047074,-485.148795,-170.201064
44260,6929440.000000,7585.074219,-2978725.453164,-5748151.592783,2470442.844573,2981.909214,-6451.057569,2654.549671
44261,6929551.000000,7585.080078,5668065.890536,-3088524.370665,2520461.040274,6931.506129,821.093231,2972.658314
44262,6927768.000000,7585.110840,6411792.444976,-823195.836393,2491031.473799,2483.564238,-7166.358217,60.698609
44263,6927001.000000,7585.081055,605402.836916,-6427547.973888,2510668.240679,3108.516738,-6238.355654,2989.047777
44264,6926562.500000,7585.084961,-1370768.992093,-6309544.418819,2507570.657080,7455.744999,1376.825300,153.221981
44265,6929428.500000,7585.077637,-515949.261874,-6431693.629711,2526676.190064,7394.000379,1635.449885,456.710948
44266,6928430.500000,7585.095703,3303843.592495,-5529052.661465,2552908.444434,-7113.904085,-1353.337691,-2258.234795
44267,6926647.000000,7585.100586,-2772758.199038,-5826521.028851,2518313.173727,6599.612188,3429.477060,-1480.934269
44268,6929240.000000,7585.077148,-2122011.348021,-6090071.679963,2534257.468987,-1302.438522,-6881.930369,2914.455406
44269,6929596.000000,7585.104980,-2650865.808028,-5879675.021996,2534093.948896,7116.776698,-2389.266312,1096.108820
44270,6928797.500000,7585.246582,5631416.482960,-3153927.262410,2519549.009019,-6864.573045,1205.955301,-2995.838347
44271,6928795.000000,7585.077637,-1116088.553346,-6354492.084925,2526456.310108,-3883.036920,5841.101063,-2889.214552
44272,6926657.000000,7585.106934,262656.137229,-6443362.247029,2528373.319916,6903.930410,3132.427705,182.930475
44273,6808116.000000,7653.864746,-4867051.652491,4093393.694701,2430304.361756,-6634.957720,2341.543527,3023.872642
44274,6928125.500000,7585.113770,-3496675.733493,-5425722.994171,2516686.751063,-6346.767679,3936.908256,-1324.318276
44275,6932167.500000,7585.115723,5098181.651186,-3916412.588343,2593300.338338,4648.750077,5881.445508,1182.986994
44276,6926767.500000,7585.083496,-2519108.593327,-5945183.212890,2507786.722055,6266.960894,3964.071471,-1588.057157
44277,6929525.000000,7585.110840,512977.027607,-6436966.580645,2514087.890201,2406.978980,6894.839048,-2055.549736
44278,6702418.500000,7714.385254,-6023652.067991,2067216.645854,2089173.316273,5052.332041,5066.587064,-2897.758686
44279,6927451.000000,7585.123047,-5112280.144273,-3938998.102476,2517630.501661,-7387.666448,-493.093100,1644.072308
44280,6926421.500000,7585.080566,4448284.670169,-4681583.382949,2504167.747879,4599.651941,5955.832027,935.939501
44281,6926558.000000,7585.120605,-1802769.121155,-6197575.100519,2513421.454615,7540.754490,781.468528,187.398388
44282,6874822.000000,7615.000488,-1885618.231630,6151123.785634,2423076.444493,-4955.183020,-5766.120202,-450.803032
44283,6928319.500000,7585.088867,-2099018.637463,-6105719.084897,2513150.766109,-6321.785804,3740.979941,-1891.218350
44284,6926622.500000,7585.118652,4756450.192555,-4365827.217680,2508751.754939,-53.174988,7520.018380,-977.899575
44285,6927964.000000,7585.117188,-2021717.846306,-6127131.380231,2523410.656750,-6794.150695,2955.057601,-1624.547716
44286,6920736.000000,7589.556152,-4897163.597630,-4209320.213915,2489177.071064,-7466.791641,1068.757060,847.759254
44287,6927459.500000,7585.082520,-211615.753963,-6448154.975103,2523135.340865,-3732.907993,5892.043550,-2978.465622
44288,6926639.500000,7585.082520,3792293.692821,-5236411.863191,2485323.630748,4077.342937,6390.526674,211.792138
